annee;numAgglomeration;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;recettesAE;tauxOccupationAE;populationAgglomeration
2020;62502;2;7;1609;;5754;78772;483446,24;12,14412242;1;6;679;5753;78772;483446,24;12,16155921;10706072
2010;754;12;45;8485;2;66645;2053366;12713562,1;16,35472125;5;15;1928;22461;579748;2837336,6;20,30319543;2711
2011;754;13;46;8577;2;67146;2129640;13068864,51;16,8349644;5;15;1928;22474;589735;2932310,75;20,60750982;100640
2012;754;13;48;8817;2;69463;2018677;12578832,32;15,76489384;5;15;1928;23335;547525;2730050,45;18,44193481;11508
2013;754;13;52;9473;2;67389;1919472;11768451,21;15,87234463;6;16;2020;24740;574271;2860616,15;18,29130866;4467
2014;754;13;49;8277;2;77042;2199972;13390588,35;16,95633203;6;16;2020;25810;579953;2914903,1;17,66994918;14541106
2015;754;14;52;8740;2;77818;2123046;13234143,25;16,3402271;7;19;2349;29679;588092;2983847,1;16,00761713;27344
2016;754;14;52;9393;2;79721;2175661;13731627,84;15,22098742;7;19;2349;30178;619625;3146831,65;16,40680564;265892
2017;754;14;52;8730;2;81262;2111455;13482778,79;15,47421888;7;19;2298;30525;585056;2999184,45;15,64161094;1639558
2018;754;14;52;8688;2;82412;2001043;13178237,54;14,56123877;7;17;2015;26305;515206;2693706,55;15,49460507;14541106
2019;754;13;49;8043;2;80059;2039361;13833557,36;15,38728463;7;17;2020;25946;550981;2928160,15;16,73847345;15049
2020;754;13;49;8243;2;37443;579410;3860873,71;9,236796185;7;17;2220;11978;193467;1025463;12,53252697;428909
2010;2B501;3;7;1351;;4788;161771;1090509;17,47202139;1;2;344;2026;69942;482294,5;20,0320779;10706072
2011;2B501;3;7;1351;;4038;145059;1038495;18,12378886;1;2;344;2050;68370;468265;19,27903134;7550
2012;2B501;2;3;607;;3068;134771;926382;22,20916704;1;2;344;2227;77667;524131,4;20,13961099;4576
2013;2B501;2;3;607;;3377;136177;916233,5;20,37330437;1;2;344;2452;74418;487476;17,50459855;17038
2014;2B501;2;3;607;;3528;134035;890469,5;19,37907722;1;2;344;2638;80147;520649;17,5154837;243244
2015;2B501;3;6;906;;4609;150806;1041258,5;18,33050729;1;2;344;2710;73991;491137,5;15,64622542;14541106
2016;2B501;3;6;906;;7731;195881;1381621;16,96831148;1;2;344;2758;61986;405141;12,96799946;10706072
2017;2B501;3;6;906;;7720;205088;1422510;17,92200892;1;2;344;2716;58648;376950,5;12,44599126;6726
2018;2B501;3;6;906;;7674;195927;1351743,5;17,13628246;1;2;344;2660;49227;312160,5;10,72245383;14825
