annee;numDepartement;nbHabitantsDepartement;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;recettesAE;tauxOccupationAE;populationDepartement
1969;3;386533;;39;19050;;;1144726;732004,0795;;;;;;;;;386533
2020;6;1082440;42;110;18553;3;78376;1130576;8192706,88;8,834184786;14;31;4516;20304;280862;1694935;9,729969798;1082440
1970;3;386533;;36;17340;;;1113559;783217,345;;;;;;;;;386533
2002;7;286023;23;34;5814;;12090;403262;1933386,15;23,05076104;8;15;2165;7686;249539;1177572;24,24386979;286023
1971;3;386533;;35;16650;;;1046932;793614,5205;;;;;;;;;386533
2003;7;306185;22;33;5614;;11898;361372;1743634,19;21,05043642;9;19;2696;10241;295095;1453512;20,88242662;306185
1972;3;378406;;34;16209;;;1097246;906277,5456;;;;;;;;;378406
2004;7;306185;23;34;5614;;12516;411561;1996463,43;23,19982773;10;21;2924;11404;342404;1692583;21,81225626;306185
1973;3;378406;;35;16369;;;1007605;935636,9396;;;;;;;;;378406
2005;7;324209;22;33;4701;;12798;370017;1786539,3;21,35948615;9;19;2473;11006;299448;1478888;21,06748747;324209
1974;3;378406;;34;15002;;;971656;1015784,876;;;;;;;;;378406
2006;7;324209;23;34;4891;;13312;423625;2088997,54;22,96146377;9;19;2473;11611;349970;1766229;23,47161535;324209
1975;3;378406;;33;14350;;;961736;1168096,994;;;;;;;;;378406
2007;7;324209;23;34;4891;;13464;409229;2044920,45;22,14276091;11;21;3076;12039;357993;1829344;21,77591537;324209
1976;3;378406;;37;13166;;;915446;1307504,608;;;;;;;;;378406
2008;7;324209;23;34;4891;;13570;416267;2127890,87;22,15833902;10;20;2920;11659;353172;1869725;22,04836291;324209
1977;3;378406;;36;12568;;;815066;1294707,275;;;;;;;;;378406
2009;7;324209;22;33;4701;;13728;430962;2223318,32;22,76239405;10;20;2920;11849;365505;1941405;22,45737458;324209
1978;3;378406;;31;9437;;;817351;1432102,714;;;;;;;;;378406
2010;7;324209;23;34;4891;;14184;431416;2238014,23;21,55062861;10;20;2920;12223;364414;1948384;21,19499343;324209
1979;3;369580;;31;9437;;;814433;1631028,406;;;;;;;;;369580
2011;7;324209;21;32;4551;;14703;468012;2511855,23;21,94745876;10;20;2920;12779;402813;2220120;21,65431941;324209
1980;3;369580;;32;8742;;;737856;1855464,306;;;;;;;;;369580
2012;7;324209;22;34;4821;;15464;440419;2429006,54;19,2000415;11;22;2970;13999;395479;2246758;19,52702106;324209
1981;3;369580;;34;7739;;;837652;2298741,686;;;;;;;;;369580
2013;7;324209;20;32;4421;;17185;438762;2409987,17;17,62330655;12;24;3188;15805;390553;2212037;17,42235835;324209
1982;3;369580;;34;7693;;;957256;2863467,575;;;;;;;;;369580
2014;7;324209;20;32;4421;;17888;503241;2691579,14;19,41611337;12;23;3170;16152;448899;2444762;19,19369211;324209
1983;3;369580;;34;7693;;;888170;2851033,528;;;;;;;;;369580
2015;7;324209;21;33;5212;;18154;491656;2680823,53;18,47123253;12;23;3346;16364;433132;2405765;17,96555812;324209
1984;3;369580;;40;7590;;;826207;2890014,894;;;;;;;;;369580
2016;7;324209;20;32;4265;;18597;508185;2772031,55;19,57303186;12;23;3094;16747;445994;2485603;18,94955993;324209
1985;3;369580;;41;7989;;;738542;2701259,229;;;;;;;;;369580
2017;7;324209;19;32;5223;;18453;491843;2691381,15;16,90333738;11;24;3478;16613;426169;2383189;17,48410746;324209
1986;3;369580;;43;8216;;;723053;2825566,434;;;;;;;;;369580
2018;7;324209;19;32;5223;;20604;537329;2986990,64;17,05271489;11;24;3478;18626;467780;2658534;17,33105207;324209
1987;3;357710;;44;7899;;;507551,4254;2110264,178;;;;;;;;;357710
2019;7;324209;19;33;5283;;21539;580983;3261422,7;17,76880306;12;26;3830;20203;526105;3022189;17,30986637;324209
1988;3;357710;;40;7220;;;437832,894;1883353,429;;;;;;;;;357710
2020;7;324209;18;32;4883;;10645;175485;973483,47;11,21052026;12;26;3830;9895;157364;899799;10,97830417;324209
1989;3;357710;;36;6302;;;416206,3768;1839168,502;;;;;;;;;357710
2002;8;290130;7;15;3214;;12787;369925;1984784,73;13,76429777;4;10;1923;10050;249604;1301813;13,31173056;290130
1990;3;357710;;33;5668;;;423960,358;1954313,269;;;;;;;;;357710
2003;8;285653;7;15;3214;;12641;333132;1841236,68;12,75738745;4;10;1923;10063;240740;1315799;12,68920616;285653
1991;3;357710;;33;5533;;;379002,3825;1845867,934;;;;;;;;;357710
2004;8;285653;6;19;3793;1;21989;510499;2982972,59;11,70703058;4;15;3045;19809;461222;2721489;11,52505831;285653
1992;3;357710;15;31;5013;;16233;373449;1875353,38;14,67492085;;;;;;;;357710
2005;8;277752;6;19;3518;1;21005;442394;2562182,67;11,14442504;4;15;2876;19672;412642;2413695;10,94250281;277752
1993;3;357710;15;31;5013;;15632;439435;2266190,5;18,0718234;;;;;;;;357710
2006;8;277752;6;19;3518;1;21755;515458;3109541,16;12,22387328;4;15;2876;20930;504613;3070494;12,47437701;277752
1994;3;357710;14;30;4713;;16278;355327;1945688,16;14,59993746;;;;;;;;357710
2007;8;277752;5;16;3068;1;20020;481136;2919883,4;12,22543427;3;14;2826;19427;455661;2823346;11,76903139;277752
1995;3;344721;14;30;4713;;18163;451527;2372863,16;15,6572478;;;;;;;;344721
2008;8;277752;5;16;3068;1;20826;520687;3237320,29;12,72897509;4;15;2876;20594;514456;3208871;12,71510949;277752
1996;3;344721;14;30;4713;;17499;438097;2295471,38;16,0926984;;;;;;;;344721
2009;8;277752;6;19;3518;1;22388;525893;3285196,34;12,23097998;4;15;2876;20516;478366;2987950;11,88573774;277752
1997;3;344721;14;30;4713;;18577;468482;2458060,17;16,32344876;;;;;;;;344721
2010;8;277752;6;19;3518;1;22544;510164;3290098,86;11,89570586;4;15;2876;20272;459856;2981079;11,64008521;277752
1998;3;344721;14;30;4631;;16383;547106;2994057,36;22,36851842;;;;;;;;344721
2011;8;277752;6;19;3518;1;23188;573289;3855984,14;12,95758699;2;4;818;2953;67079;391493;11,48660219;277752
1999;3;344721;14;29;4461;;15972;422347;2282970,12;17,82109744;;;;;;;;344721
2012;8;277752;6;19;3518;1;23168;526624;3527019,6;11,92222248;4;15;2876;21494;487203;3268734;11,81479979;277752
2000;3;344721;11;28;3956;;17241;419652;2302319,71;16,97879613;;;;;;;;344721
2013;8;277752;6;19;3518;1;22624;474233;3147861,69;10,96128039;4;15;2876;20967;434723;2897786;10,6698348;277752
2001;3;344721;11;28;3956;;18443;534680;2927412,86;20,47777387;;;;;;;;344721
2014;8;277752;5;18;3326;1;22836;543598;3434980,1;12,50475889;4;15;2876;21035;498130;3166912;12,22266634;277752
2015;8;277752;5;18;3501;1;23486;562097;3556774,71;12,37916703;4;15;3051;21244;502434;3197434;11,89866265;277752
2016;8;277752;5;18;3276;1;23527;584183;3682518,93;13,35435681;4;15;2826;21534;523191;3319213;12,76412147;277752
2017;8;277752;5;18;3501;1;23158;580062;3669050,36;12,84790285;4;15;3051;21541;538471;3429668;12,72374679;277752
2018;8;277752;5;18;3476;1;23387;536768;3409607,8;11,79828651;4;15;3026;21484;486644;3105860;11,41456504;277752
2019;8;277752;5;18;3476;1;22630;531045;3418012,92;12,1925404;4;15;3026;20744;478392;3098036;11,75381151;277752
